Date,Open,High,Low,Close,Adj Close,Volume
2020-08-06,21.000000,21.547501,20.875000,21.477501,21.439608,44079200
2020-08-07,21.299999,21.875000,21.084999,21.412500,21.374723,46478800
2020-08-10,21.545000,21.575001,20.280001,20.482500,20.446363,61277600
2020-08-11,20.674999,20.747499,20.057501,20.247499,20.211777,42669200
2020-08-12,20.327499,20.532499,19.799999,20.014999,19.979687,44144400
2020-08-13,20.150000,21.000000,19.865000,20.112499,20.077015,63304000
2020-08-14,20.152500,20.607500,20.049999,20.440001,20.403938,42638800
2020-08-17,20.625000,20.867500,19.847500,20.412500,20.376488,58920800
2020-08-18,21.375000,22.450001,21.002501,22.375000,22.335524,127926000
2020-08-19,22.252501,22.557501,22.055000,22.424999,22.385435,54724800
2020-08-20,22.040001,22.067499,21.537500,21.837500,21.798971,54761600
2020-08-21,21.740000,22.174999,21.600000,21.837500,21.798971,33020400
2020-08-24,22.045000,22.270000,21.652500,21.770000,21.731592,31364400
2020-08-25,21.975000,22.177500,21.852501,22.000000,21.961184,29602400
2020-08-26,22.027500,22.875000,21.990000,22.537500,22.497736,69261200
2020-08-27,22.605000,23.030001,22.605000,22.995001,22.954430,49194000
2020-08-28,23.125000,23.645000,22.975000,23.645000,23.603283,39536800
2020-08-31,23.627501,23.629999,23.090000,23.305000,23.263884,44806400
2020-09-01,23.549999,24.062500,23.417500,23.832500,23.790453,35228400
2020-09-02,23.975000,24.105000,23.250000,23.377501,23.336256,40830800
2020-09-03,23.452499,23.575001,21.799999,22.125000,22.085964,85120800
2020-09-04,22.362499,22.610001,20.867500,22.192499,22.153343,90277600
2020-09-08,21.762501,22.377501,21.375000,21.922501,21.883823,45290400
2020-09-09,22.257500,22.857500,22.257500,22.799999,22.759771,45762800
2020-09-10,22.844999,23.422501,21.750000,22.062500,22.023575,65936400
2020-09-11,22.340000,22.600000,21.780001,21.892500,21.853874,48137600
2020-09-14,22.299999,22.967501,22.250000,22.575001,22.535172,49884800
2020-09-15,22.852501,23.110001,22.270000,22.395000,22.355488,45557200
2020-09-16,22.455000,22.725000,22.157499,22.292500,22.253168,36979600
2020-09-17,22.147499,22.325001,21.665001,21.775000,21.736582,49546800
2020-09-18,21.900000,22.387501,21.510000,21.790001,21.751556,60468400
2020-09-21,21.307501,22.287500,21.082500,22.174999,22.135876,60979200
2020-09-22,22.400000,22.545000,21.875000,22.372499,22.333027,52746800
2020-09-23,22.372499,22.492500,21.552500,21.620001,21.581858,43341200
2020-09-24,21.725000,22.447500,21.424999,22.325001,22.285612,48450000
2020-09-25,22.102501,22.775000,21.875000,22.657499,22.617525,43119200
